tweet_id,content,annotator,confidence,clean_tweets,originaltext,AgreedSentiment,classname
1.3019498094279188e+18,,omirindem@gmail.com,1.0,good evening everyone we have in the house who is famous for writing yorùbá stories and books welcome to the house sir ẹ kúu dédé àsìkò yìí níbi gbogbo tí ẹ ti ń ka tweet yìí a ní nínú agbo ẹni tí ó yan kíkọ àrọko yorùbá láàyò ẹ káàbọ̀,"Good evening everyone. We have @theayoadams in the house, who is famous for writing Yorùbá stories and books. Welcome to the house sir. Ẹ kúu dédé àsìkò yìí níbi gbogbo tí ẹ ti ń ka tweet yìí. A ní @theayoadams nínú agbo, ẹni tí ó yan kíkọ àrọko Yorùbá l'áàyò. Ẹ káàbọ̀",POSITIVE,Code-mix
1.2036019342398833e+18,,omirindem@gmail.com,1.0,happy anniversary bro adùn kò ní tán nílé yín,@OfficialMrSeun @LePeaceO Happy anniversary bro. Adùn kò ní tán nílé yín,POSITIVE,Code-mix
1.2128653780256932e+18,,omirindem@gmail.com,0.9794968963,yay he did it jẹ́ ń lọ gbàlù kí n jó 💃💃💃,@DeboOdulana Yay! He did it. Jẹ́ ń lọ gbàlù kí n jó 💃💃💃,POSITIVE,Code-mix
1.2115545581508813e+18,,omirindem@gmail.com,0.9845331311,ẹ ṣé brah seun doing so right away,"@iAmSeunKentebe @DirectorFlo Ẹ ṣé brah Seun, doing so right away.",POSITIVE,Code-mix
1.1622757285550449e+18,,omirindem@gmail.com,1.0,in the light of todays ọ̀sun òṣogbo festival we celebrate with the worshippers of ọ̀sun fún gbogbo ọlọ́ṣun tí ń ṣe ọdún ọ̀sun òṣogbo ní èní ẹ kúu ọdún ọdún á yabo o o re yèyé o video by asabioje afenapa,"In the light of today's Ọ̀SUN ÒṢOGBO festival, we celebrate with the worshippers of Ọ̀sun. Fún gbogbo Ọlọ́ṣun tí ń ṣe ọdún Ọ̀SUN ÒṢOGBO ní èní, ẹ kúu ọdún. Ọdún á yabo o... O re yèyé o! Video by: Asabioje Afenapa https://t.co/ObQZn2SJDd",POSITIVE,Code-mix
5.245954684129362e+17,,omirindem@gmail.com,1.0,irun russian cambodian brazilian peruvian indian moroccan mongolian àti bẹ́ẹ̀bẹ́ẹ̀ lọ lo yàn láàyò pàtẹ́wọ́ fún raà rẹ,"Irun Russian, Cambodian, Brazilian, Peruvian, Indian, Moroccan, Mongolian àti bẹ́ẹ̀bẹ́ẹ̀ lọ lo yàn láàyò. Pàtẹ́wọ́ fún 'raà rẹ #AwaLaNiIrun",POSITIVE,Code-mix
4.9098076963735136e+17,,omirindem@gmail.com,1.0,tun le ni bi eni fi eran jeko eyi tumo si rorùn easy simple,"#Yoruba tun le ni "" bi eni fi eran jeko"" eyi tumo si ""rorùn"" (easy, simple)",POSITIVE,Code-mix
1.2821943240343265e+18,,omirindem@gmail.com,0.771707356,ẹni á ńgbé ìyàwó bọ̀ wá bá kì í garùn a groom should not be craning his neck to peek at his bride be patient,"RT @yoruba_proverbs: Ẹni á ńgbé ìyàwó bọ̀ wá bá, kì í ga’rùn. / A groom should not be craning his neck to peek at his bride. [Be patient;…",POSITIVE,Code-mix
3.8997413538197914e+17,,omirindem@gmail.com,0.9836865067,barka de salah a kú ọdún,Barka de Salah. A kú ọdún. #happysallah #eidmubarak :),POSITIVE,Code-mix
1.1159358245693604e+18,,omirindem@gmail.com,1.0,the beautiful eulogy of ìbàdàn you cannot but fall in love with it 😍 enjoy it oríkì ìlú ìbàdàn dídùn ni kìkìdá rẹ̀😘 ẹ fì kalẹ̀ si kẹ gbádùn rẹ̀ a work of,"The beautiful Eulogy of Ìbàdàn. You cannot but, fall in love with it 😍. Enjoy it. Oríkì Ìlú Ìbàdàn. Dídùn ni kìkìdá rẹ̀😘. Ẹ fì kalẹ̀ si, kẹ gbádùn rẹ̀. A work of @OgunrinTomiwa https://t.co/nQvf9QyX8j",POSITIVE,Code-mix
1.159937027925848e+18,,omirindem@gmail.com,0.9639813304,orí ò mọ ibùsùn ì bá tún ibẹ̀ ṣe láàárọ̀ we do not know our future for certain else we would have prepared for i,"RT @yoruba_proverbs: Orí ò mọ ibùsùn, ì bá tún ibẹ̀ ṣe láàárọ̀. / We do not know our future for certain, else we would have prepared for i…",POSITIVE,Code-mix
1.179291018761519e+18,,omirindem@gmail.com,0.8907439113,ìrèké ò níbùdó ibi gbogbo ló gba alágbára sugarcane has no specific place of sprouting every situation suits the diligent person just fine be strong be diligent diligence pays,Ìrèké ò ní'bùdó; ibi gbogbo ló gba alágbára. / Sugarcane has no specific place of sprouting; every situation suits the diligent person just fine. [Be strong; be diligent; diligence pays.] #Yoruba #proverb,POSITIVE,Code-mix
1.3427499559293665e+18,,omirindem@gmail.com,0.5005679131,òkè lọwọ́ afúnni ńgbé ìsàlẹ̀ lọwọ́ ẹni tó ńgbà á ńwà the hand of a giver is always at the top the hand of the receiver stays underneath giving elevates generosity pays,Òkè lọwọ́ afúnni ńgbé; ìsàlẹ̀ lọwọ́ ẹni tó ńgbà á ńwà. The hand of a giver is always at the top; the hand of the receiver stays underneath. Giving elevates; generosity pays. #Yoruba #proverb,POSITIVE,Code-mix
1.171868627332731e+18,,omirindem@gmail.com,1.0,àkànlò èdè idiom so ewé agbéjẹ́ mọ́ ọwọ́ ìtumọ̀ kí èèyàn jáwọ́ nínú ìwà ìjọ̀gbọ̀n kí ó lọ mú sùúrù kàn translation to tie the leaf of peace around ones hand meaning for one to embrace peace and shun trouble,"ÀKÀNLÒ ÈDÈ / IDIOM So ewé agbéjẹ́ mọ́ ọwọ́ ÌTUMỌ̀: kí èèyàn jáwọ́ nínú ìwà Ìjọ̀gbọ̀n, kí ó lọ mú sùúrù kàn. TRANSLATION: To tie the leaf of peace around one's hand. MEANING: For one to embrace peace and shun trouble.",POSITIVE,Code-mix
